Ind.ID origin.pop pred.pop pop_A pop_B pop_C
1_1 pop_A pop_A 0.993342537626846 0.00373297630324832 0.00292448606990615
1_8 pop_A pop_A 0.990638827945056 0.00369012607100447 0.00567104598394011
1_10 pop_A pop_A 0.959034700599446 0.0161910788039301 0.0247742205966238
1_12 pop_A pop_A 0.922816753665104 0.0479032542591517 0.0292799920757445
1_13 pop_A pop_A 0.859610028380731 0.0762844826513974 0.0641054889678716
1_14 pop_A pop_A 0.968328092071581 0.0154329023566485 0.016239005571771
1_15 pop_A pop_A 0.993996146603376 0.00210547405711202 0.00389837933951182
1_16 pop_A pop_C 0.0591728599175596 0.390108970528494 0.550718169553946
1_17 pop_A pop_A 0.660200640191628 0.159102611489779 0.180696748318593
1_21 pop_A pop_A 0.453875732949964 0.174686464153827 0.371437802896209
1_25 pop_A pop_A 0.968147345440309 0.0203299400345968 0.011522714525094
1_26 pop_A pop_A 0.994824988873283 0.00142837098752464 0.00374664013919251
1_27 pop_A pop_A 0.886259552118607 0.0854798402344102 0.0282606076469827
1_28 pop_A pop_A 0.960265752803281 0.0143187461962614 0.0254155010004574
1_30 pop_A pop_A 0.554780701850537 0.294685087084406 0.150534211065057
2_1 pop_B pop_B 0.0355170941066322 0.512741637574927 0.45174126831844
2_4 pop_B pop_B 0.0630857738596638 0.604999293542025 0.331914932598312
2_7 pop_B pop_B 0.0939655212911409 0.486781507907786 0.419252970801073
2_13 pop_B pop_C 0.0577399866355606 0.249926378345303 0.692333635019136
2_15 pop_B pop_B 0.013457514527692 0.729885231559683 0.256657253912625
2_18 pop_B pop_A 0.396330984573872 0.306671811655252 0.296997203770876
2_19 pop_B pop_B 0.0131250222652679 0.56229129423234 0.424583683502393
2_20 pop_B pop_B 0.115099716446701 0.650964950198538 0.233935333354761
2_21 pop_B pop_C 0.00326436052552829 0.364564531818779 0.632171107655692
2_23 pop_B pop_B 0.0394297452271452 0.502986634130706 0.457583620642149
2_26 pop_B pop_B 0.0392079218763196 0.797694485817764 0.163097592305916
2_27 pop_B pop_C 0.249571211781302 0.335981092003039 0.41444769621566
2_28 pop_B pop_B 0.0185923109359597 0.572736062041661 0.408671627022379
2_29 pop_B pop_B 0.0526263664618659 0.51629151935218 0.431082114185954
2_30 pop_B pop_B 0.0924995462672546 0.629436457132479 0.278063996600266
3_1 pop_C pop_B 0.0332375039141952 0.577849458310622 0.388913037775182
3_3 pop_C pop_C 0.00367697192346317 0.246774363326892 0.749548664749645
3_6 pop_C pop_C 0.000569007014287712 0.218247374691797 0.781183618293916
3_10 pop_C pop_B 0.000682294735417889 0.582709846932841 0.416607858331741
3_11 pop_C pop_C 0.0566481759881879 0.441256386125917 0.502095437885896
3_13 pop_C pop_B 0.00268672518834463 0.704417114190042 0.292896160621613
3_15 pop_C pop_C 0.00204122178836178 0.27418280966828 0.723775968543359
3_16 pop_C pop_C 0.00775146877417249 0.426283998856607 0.56596453236922
3_19 pop_C pop_C 0.0242455530335047 0.410471317728932 0.565283129237564
3_20 pop_C pop_B 0.201950921514496 0.473195583131588 0.324853495353916
3_23 pop_C pop_C 0.0252715420189455 0.393724091172156 0.581004366808898
3_25 pop_C pop_C 0.000576543429044173 0.221082120127676 0.77834133644328
3_28 pop_C pop_B 0.13128470255724 0.577133463110776 0.291581834331984
3_29 pop_C pop_C 0.0891403306196947 0.289279278878106 0.621580390502199
3_30 pop_C pop_B 0.00139841138660969 0.70399268260843 0.29460890600496
